episode,result,duration_s
1,PASS,29.5
2,PASS,33.8
3,PASS,29.4
4,PASS,28.8
5,PASS,28.9
6,PASS,28.9
7,PASS,29.1
8,PASS,28.6
9,PASS,28.6
10,PASS,28.4
11,PASS,29.1
12,PASS,29.3
13,PASS,28.6
14,PASS,29.3
15,PASS,28.8
16,PASS,28.3
17,PASS,28.6
18,PASS,28.2
19,PASS,28.3
20,PASS,28.6
