episode,result,duration_s
1,FAIL,92.1
2,FAIL,92.0
3,FAIL,92.0
4,FAIL,92.0
5,FAIL,92.3
6,FAIL,92.0
7,FAIL,92.1
8,FAIL,92.0
9,FAIL,92.2
10,FAIL,92.1
11,FAIL,92.1
12,FAIL,92.0
13,FAIL,92.0
14,FAIL,92.1
15,FAIL,92.0
16,FAIL,92.0
17,FAIL,92.0
18,FAIL,92.1
19,FAIL,92.2
20,FAIL,92.1
