step,ep_return,ep_len,success
500,153.0100000000001,500,True
1000,157.01000000000025,500,True
1500,245.0100000000014,500,True
2000,209.01000000000096,500,True
2500,223.0100000000011,500,True
3000,240.01000000000133,500,True
3500,235.01000000000127,500,True
4000,203.0100000000009,500,True
4500,175.01000000000047,500,True
5000,238.01000000000133,500,True
5500,240.01000000000133,500,True
6000,235.01000000000127,500,True
6500,217.01000000000104,500,True
7000,230.0100000000012,500,True
7500,234.01000000000127,500,True
8000,250.01000000000147,500,True
8500,229.0100000000012,500,True
9000,175.0100000000005,500,True
9500,235.01000000000127,500,True
10000,235.01000000000127,500,True
10500,240.01000000000133,500,True
11000,240.01000000000133,500,True
11500,235.01000000000127,500,True
12000,205.0100000000009,500,True
12500,235.01000000000127,500,True
13000,235.01000000000127,500,True
13500,219.01000000000107,500,True
14000,238.01000000000133,500,True
14500,227.01000000000118,500,True
15000,235.01000000000127,500,True
15500,235.01000000000127,500,True
16000,235.01000000000127,500,True
16500,235.01000000000127,500,True
17000,215.01000000000104,500,True
17500,235.01000000000127,500,True
18000,255.0100000000015,500,True
18500,235.01000000000127,500,True
19000,225.01000000000116,500,True
19500,143.00999999999996,500,True
20000,233.01000000000124,500,True
20500,230.0100000000012,500,True
20506,-148.055,6,False
21006,235.01000000000127,500,True
21506,179.0100000000005,500,True
22006,225.01000000000116,500,True
22506,235.01000000000127,500,True
23006,245.0100000000014,500,True
23506,229.0100000000012,500,True
24006,227.01000000000118,500,True
24506,240.01000000000136,500,True
25006,235.01000000000127,500,True
25506,235.01000000000127,500,True
26006,207.01000000000093,500,True
26506,250.01000000000147,500,True
27006,182.01000000000056,500,True
27506,245.0100000000014,500,True
28006,235.01000000000127,500,True
28506,235.01000000000127,500,True
29006,105.01000000000036,500,True
29506,231.0100000000012,500,True
30006,235.01000000000127,500,True
30506,245.0100000000014,500,True
31006,210.01000000000099,500,True
31506,250.01000000000147,500,True
32006,240.01000000000133,500,True
32506,228.01000000000118,500,True
33006,235.01000000000127,500,True
33506,235.01000000000127,500,True
34006,187.01000000000064,500,True
34506,245.0100000000014,500,True
35006,235.01000000000127,500,True
35506,-770.9899999999978,500,True
36006,235.01000000000127,500,True
36506,235.01000000000127,500,True
37006,240.01000000000133,500,True
37506,235.01000000000127,500,True
38006,235.01000000000127,500,True
38012,-148.055,6,False
38512,229.0100000000012,500,True
39012,235.01000000000127,500,True
39512,235.01000000000127,500,True
40012,235.01000000000127,500,True
40512,235.01000000000127,500,True
41012,235.01000000000127,500,True
41512,245.0100000000014,500,True
42012,240.01000000000136,500,True
42512,229.0100000000012,500,True
43012,240.01000000000133,500,True
43512,240.01000000000133,500,True
44012,235.01000000000127,500,True
44512,231.01000000000124,500,True
45012,235.01000000000127,500,True
45512,210.01000000000099,500,True
46012,240.01000000000133,500,True
46512,222.0100000000011,500,True
47012,230.0100000000012,500,True
47512,235.01000000000127,500,True
48012,238.01000000000133,500,True
48512,245.0100000000014,500,True
49012,231.01000000000124,500,True
49512,240.01000000000133,500,True
50012,235.01000000000127,500,True
50512,235.01000000000127,500,True
51012,235.01000000000127,500,True
51512,235.01000000000127,500,True
52012,245.0100000000014,500,True
52512,240.01000000000133,500,True
53012,235.01000000000127,500,True
53512,227.01000000000118,500,True
54012,230.0100000000012,500,True
54512,235.01000000000127,500,True
55012,235.01000000000127,500,True
55512,230.0100000000012,500,True
56012,230.0100000000012,500,True
56512,240.01000000000133,500,True
57012,233.01000000000124,500,True
57512,235.01000000000127,500,True
58012,240.01000000000133,500,True
58512,245.0100000000014,500,True
59012,235.01000000000127,500,True
59512,235.01000000000127,500,True
60012,235.01000000000127,500,True
60512,235.01000000000127,500,True
61012,235.01000000000127,500,True
61512,245.0100000000014,500,True
62012,235.01000000000127,500,True
62512,230.0100000000012,500,True
63012,245.0100000000014,500,True
63512,235.01000000000127,500,True
64012,230.0100000000012,500,True
64512,230.0100000000012,500,True
65012,235.01000000000127,500,True
65512,235.01000000000127,500,True
65518,-148.055,6,False
66018,235.01000000000127,500,True
66518,205.01000000000093,500,True
67018,235.01000000000127,500,True
67518,235.01000000000127,500,True
68018,240.01000000000133,500,True
68518,231.01000000000124,500,True
69018,235.01000000000127,500,True
69518,235.01000000000127,500,True
70018,235.01000000000127,500,True
70518,235.01000000000127,500,True
71018,235.01000000000127,500,True
71518,240.01000000000133,500,True
72018,245.0100000000014,500,True
72518,233.01000000000124,500,True
73018,235.01000000000127,500,True
73024,-148.055,6,False
73524,240.01000000000133,500,True
74024,235.01000000000127,500,True
74524,235.01000000000127,500,True
75024,245.0100000000014,500,True
75524,233.01000000000124,500,True
76024,230.0100000000012,500,True
76524,235.01000000000127,500,True
77024,230.0100000000012,500,True
77524,240.01000000000133,500,True
78024,235.01000000000127,500,True
78524,235.01000000000127,500,True
79024,230.0100000000012,500,True
79524,250.01000000000147,500,True
80024,235.01000000000127,500,True
80524,235.01000000000127,500,True
81024,230.0100000000012,500,True
81524,235.01000000000127,500,True
82024,240.01000000000133,500,True
82524,235.01000000000127,500,True
83024,185.01000000000056,500,True
83524,235.01000000000127,500,True
84024,233.01000000000124,500,True
84524,235.01000000000127,500,True
85024,235.01000000000127,500,True
85524,240.01000000000133,500,True
86024,230.0100000000012,500,True
86524,235.01000000000127,500,True
87024,240.01000000000133,500,True
87524,235.01000000000127,500,True
88024,235.01000000000127,500,True
88524,235.01000000000127,500,True
89024,235.01000000000127,500,True
89524,230.0100000000012,500,True
90024,235.01000000000127,500,True
90524,235.01000000000127,500,True
91024,235.01000000000127,500,True
91524,230.0100000000012,500,True
92024,238.0100000000013,500,True
92524,240.01000000000133,500,True
93024,235.01000000000127,500,True
93524,235.01000000000127,500,True
94024,240.01000000000133,500,True
94524,240.01000000000133,500,True
95024,235.01000000000127,500,True
95524,235.01000000000127,500,True
96024,235.01000000000127,500,True
96524,235.01000000000127,500,True
97024,235.01000000000127,500,True
97524,240.01000000000133,500,True
98024,230.0100000000012,500,True
98524,235.01000000000127,500,True
99024,235.01000000000127,500,True
99524,240.01000000000133,500,True
100024,230.0100000000012,500,True
100524,235.01000000000127,500,True
101024,245.0100000000014,500,True
101524,235.01000000000127,500,True
102024,235.01000000000127,500,True
102524,-624.9899999999978,500,True
103024,235.01000000000127,500,True
103524,245.0100000000014,500,True
104024,240.01000000000133,500,True
104524,230.0100000000012,500,True
105024,235.01000000000127,500,True
105524,235.01000000000127,500,True
106024,235.01000000000127,500,True
106524,235.01000000000127,500,True
107024,230.0100000000012,500,True
107524,240.01000000000133,500,True
108024,-2156.990000000019,500,True
108524,235.01000000000127,500,True
109024,235.01000000000127,500,True
109524,235.01000000000127,500,True
110024,235.01000000000127,500,True
110524,235.01000000000127,500,True
111024,235.01000000000127,500,True
111524,235.01000000000127,500,True
112024,235.01000000000127,500,True
112524,238.01000000000133,500,True
113024,230.0100000000012,500,True
113524,240.01000000000133,500,True
114024,235.01000000000127,500,True
114524,235.01000000000127,500,True
115024,235.01000000000127,500,True
115524,240.01000000000133,500,True
116024,240.01000000000133,500,True
116524,240.01000000000133,500,True
117024,240.01000000000133,500,True
117524,235.01000000000127,500,True
118024,-876.9900000000074,500,True
118524,240.01000000000133,500,True
119024,225.01000000000116,500,True
119524,243.01000000000138,500,True
120024,235.01000000000127,500,True
120524,235.01000000000127,500,True
121024,245.0100000000014,500,True
121524,235.01000000000127,500,True
122024,230.0100000000012,500,True
122524,235.01000000000127,500,True
123024,235.01000000000127,500,True
123524,235.01000000000127,500,True
124024,240.01000000000133,500,True
124524,235.01000000000127,500,True
125024,240.01000000000133,500,True
125524,238.01000000000133,500,True
126024,-572.9899999999978,500,True
126524,240.01000000000133,500,True
127024,240.01000000000133,500,True
127524,235.01000000000127,500,True
128024,240.01000000000133,500,True
128524,-344.98999999999785,500,True
129024,235.01000000000127,500,True
129524,240.01000000000133,500,True
130024,240.01000000000133,500,True
130524,235.01000000000127,500,True
131024,-325.98999999999785,500,True
131524,235.01000000000127,500,True
132024,240.01000000000133,500,True
132524,235.01000000000127,500,True
133024,235.01000000000127,500,True
133524,235.01000000000127,500,True
134024,235.01000000000127,500,True
134524,235.01000000000127,500,True
135024,235.01000000000127,500,True
135524,235.01000000000127,500,True
136024,235.01000000000127,500,True
136524,235.01000000000127,500,True
137024,240.01000000000133,500,True
137524,240.01000000000133,500,True
138024,250.01000000000147,500,True
138524,235.01000000000127,500,True
139024,240.01000000000133,500,True
139524,235.01000000000127,500,True
140024,235.01000000000127,500,True
140524,235.01000000000127,500,True
141024,230.0100000000012,500,True
141524,230.0100000000012,500,True
142024,231.01000000000124,500,True
142524,240.01000000000133,500,True
143024,235.01000000000127,500,True
143524,235.01000000000127,500,True
144024,240.01000000000133,500,True
144524,240.01000000000136,500,True
145024,235.01000000000127,500,True
145524,235.01000000000127,500,True
146024,225.01000000000116,500,True
146524,245.0100000000014,500,True
147024,245.0100000000014,500,True
147524,225.01000000000116,500,True
148024,235.01000000000127,500,True
148524,235.01000000000127,500,True
149024,235.01000000000127,500,True
149524,225.01000000000116,500,True
